eeschema (2013-05-31 BZR 4019)-stable  >> Creation date: 28/07/2013 09:34:27
#Cmp ( ordre = Référence )
| 100n         C1015     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 100n         C1021     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 100n         C1022     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 10µ/16V     C1001     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 10µ/16V     C1002     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| CP           C1003     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C            C1005     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| CP           C1007     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C            C1010     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 22U/10V      C1011     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 22U/10V      C1012     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 10µ/16V     C1013     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 10µ/16V     C1014     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 22U/10V      C1019     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 22U/10V      C1020     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| LED          D1001     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| LED          D1002     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| LED          D1003     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| LED          D1004     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| LED          D1005     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| LED          D1006     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_2       K1001     ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_2       K1002     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 10U/3.4A 30% L1001     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 10U/3.4A 30% L1002     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_6       P1001     ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_6       P1002     ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_6       P1003     ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_6       P1004     ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_6       P1005     ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_6       P1006     ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_6       P1007     ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_6       P1008     ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_6       P1009     ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_6       P1010     ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_6       P1011     ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_6       P1012     ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| 10k 1%       R1003     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 10k 1%       R1012     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 45.3k 1%     R1002     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 100k         R1001     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 100k         R1010     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| 121k 1%      R1011     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| R            R1004     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| R            R1005     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| R            R1006     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| R            R1007     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| R            R1008     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| R            R1009     ; ~           ; ~           ;             ;             ;             ;             ;             ;             ;             ;             
| EC3A04       U1001     ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| MP2307       U1002     ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| LM1117       U1003     ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
| MP2307       U1004     ;             ;             ;             ;             ;             ;             ;             ;             ;             ;             
#End Cmp

#End List
